PvOutput,airTemp,humidity,insolation,windSpeed
0.087297,0.4217,0.84435,0.082748,0.14876
0.11736,0.42676,0.83509,0.10354,0.18388
0.15203,0.4352,0.82297,0.12594,0.1188
0.19619,0.44195,0.81072,0.14812,0.16012
0.23415,0.45179,0.80081,0.17041,0.12913
0.27235,0.46444,0.78425,0.19293,0.12913
0.3111,0.47765,0.76287,0.21523,0.1095
0.34303,0.48805,0.74475,0.23868,0.19008
0.37526,0.49986,0.72715,0.26163,0.17562
0.41465,0.51026,0.70486,0.28354,0.18595
0.4454,0.51841,0.69535,0.30772,0.21694
0.47055,0.52854,0.67566,0.3283,0.19215
0.49469,0.53556,0.66615,0.34876,0.16942
0.51585,0.54625,0.64776,0.37022,0.15599
0.5356,0.55862,0.6243,0.3918,0.18492
0.55708,0.56649,0.611,0.41136,0.16632
0.57301,0.56958,0.6024,0.42749,0.19112
0.5849,0.57661,0.59327,0.4423,0.16632
0.61997,0.59263,0.5732,0.45788,0.16322
0.62805,0.59769,0.56199,0.47121,0.12913
0.64097,0.60585,0.55117,0.48264,0.10744
0.65542,0.61484,0.53709,0.49747,0.18079
0.66221,0.6289,0.52014,0.50825,0.15806
0.65841,0.64015,0.50124,0.51513,0.14256
0.58013,0.6393,0.47973,0.44734,0.17459
0.66229,0.63256,0.47113,0.50769,0.19318
0.6927,0.65195,0.44949,0.5441,0.092975
0.6932,0.6677,0.42941,0.54699,0.099174
0.52966,0.6587,0.41559,0.50847,0.12087
0.72225,0.66123,0.40855,0.52742,0.10021
0.3569,0.6691,0.39252,0.25333,0.053719
0.44897,0.68035,0.37596,0.41496,0.068182
0.41092,0.68204,0.37244,0.27117,0.1157
0.71168,0.69216,0.35797,0.45801,0.12707
0.62502,0.70649,0.34363,0.46516,0.077479
0.71302,0.71605,0.33412,0.58238,0.061983
0.73046,0.72617,0.32017,0.61227,0.056818
0.70958,0.72449,0.30896,0.61694,0.073347
0.69178,0.7124,0.33659,0.59097,0.099174
0.38896,0.71184,0.34233,0.41087,0.10847
0.26876,0.6989,0.35158,0.23185,0.05062
0.47661,0.70284,0.35654,0.34588,0.045455
0.57133,0.7034,0.35341,0.44863,0.044421
0.21175,0.6989,0.34911,0.14247,0.055785
0.1802,0.69806,0.35576,0.11108,0.041322
0.33865,0.69131,0.38613,0.2343,0.079545
0.28393,0.68569,0.45105,0.3345,0.14153
0.12194,0.66938,0.46982,0.089389,0.15599
0.11105,0.66207,0.48586,0.063829,0.1064
0.2988,0.6691,0.48077,0.26602,0.18388
0.24877,0.67304,0.47113,0.23651,0.1405
0.21179,0.67107,0.47634,0.21333,0.13533
0.18177,0.67135,0.46956,0.19423,0.16529
0.16366,0.66151,0.46852,0.17274,0.16839
0.12093,0.65954,0.465,0.14835,0.13326
0.0746,0.64942,0.44988,0.073032,0.15393
0.10789,0.64746,0.42641,0.122,0.12087
0.076537,0.64633,0.42041,0.097607,0.16116
0.039986,0.63593,0.45991,0.055744,0.11157
0.018716,0.62778,0.50684,0.033944,0.14566
0.094402,0.42845,0.94564,0.071262,0.13946
0.1161,0.43492,0.93704,0.097314,0.1312
0.12313,0.43913,0.92817,0.099224,0.079545
0.12665,0.4456,0.91266,0.099816,0.1188
0.16867,0.44757,0.89715,0.11812,0.11157
0.2324,0.45825,0.88372,0.18074,0.1126
0.27502,0.46837,0.86977,0.19226,0.095041
0.3571,0.48046,0.85856,0.23651,0.090909
0.32622,0.49255,0.82949,0.2189,0.1219
0.34991,0.50689,0.80185,0.24369,0.11157
0.36861,0.51785,0.78373,0.25155,0.1157
0.46585,0.52544,0.77669,0.2965,0.18388
0.50517,0.53866,0.75609,0.35891,0.16942
0.54833,0.55749,0.72676,0.40348,0.1126
0.57411,0.57042,0.69808,0.43692,0.089876
0.55328,0.57745,0.69,0.41458,0.16116
0.48335,0.58561,0.68661,0.4026,0.14463
0.56979,0.59348,0.67853,0.42916,0.18595
0.61688,0.59994,0.67305,0.48091,0.18492
0.60976,0.6095,0.66028,0.4443,0.10021
0.56059,0.61541,0.64555,0.39413,0.125
0.66105,0.62806,0.62847,0.49987,0.1126
0.66213,0.64493,0.60305,0.50685,0.11054
0.67518,0.64717,0.58806,0.52194,0.11364
0.52123,0.65392,0.56929,0.39258,0.053719
0.59858,0.65673,0.54934,0.50848,0.054752
0.65527,0.67107,0.51845,0.48728,0.043388
0.59723,0.67922,0.4929,0.49621,0.057851
0.54355,0.69272,0.47334,0.45778,0.075413
0.53324,0.69609,0.44297,0.38303,0.090909
0.71648,0.70368,0.41246,0.55808,0.044421
0.6996,0.7228,0.38026,0.61434,0.056818
0.67305,0.71858,0.39473,0.55224,0.059917
0.41218,0.71915,0.38626,0.33128,0.02376
0.61013,0.72589,0.38209,0.50281,0.057851
0.5259,0.73095,0.37283,0.42433,0.080579
0.44446,0.72533,0.37674,0.37942,0.081612
0.50127,0.73123,0.3581,0.40641,0.071281
0.32161,0.73264,0.35393,0.27777,0.06095
0.31351,0.73742,0.33542,0.32785,0.041322
0.44023,0.73939,0.35041,0.31199,0.036157
0.44323,0.74557,0.33829,0.35939,0.061983
0.43894,0.74079,0.33764,0.35562,0.048554
0.4996,0.75344,0.32434,0.40719,0.06405
0.3639,0.74051,0.32994,0.34775,0.085744
0.21065,0.73348,0.33542,0.13034,0.041322
0.17749,0.7287,0.33047,0.2048,0.067149
0.22894,0.71043,0.34063,0.20979,0.15702
0.24867,0.70003,0.35106,0.18584,0.17252
0.21077,0.69665,0.36214,0.18077,0.22624
0.15619,0.68794,0.40425,0.15217,0.14566
0.14223,0.68316,0.42354,0.11152,0.10124
0.19193,0.68428,0.42785,0.19304,0.1374
0.14287,0.68541,0.43906,0.13459,0.15909
0.049087,0.67304,0.48025,0.049469,0.14669
0.048075,0.6632,0.5058,0.042096,0.095041
0.043465,0.6573,0.50776,0.040645,0.085744
0.03134,0.6542,0.53018,0.032667,0.1312
0.02287,0.64689,0.5818,0.024854,0.125
0.0073543,0.63902,0.62013,0.011772,0.1095
0.07256,0.49199,0.88372,0.06134,0.10434
0.11641,0.49761,0.87055,0.089056,0.1219
0.15807,0.50576,0.85178,0.12749,0.09814
0.15727,0.51364,0.82558,0.12084,0.19112
0.21019,0.5201,0.81437,0.16562,0.13843
0.26906,0.5291,0.79872,0.18936,0.10744
0.30775,0.53753,0.79155,0.21223,0.18905
0.33787,0.54512,0.7776,0.23507,0.15599
0.3677,0.55524,0.76287,0.25727,0.1405
0.40478,0.57099,0.73941,0.27939,0.11467
0.43937,0.5783,0.72924,0.30039,0.16219
0.46349,0.5887,0.71829,0.32038,0.19421
0.48881,0.59713,0.71308,0.34021,0.18182
0.51124,0.61147,0.69209,0.3584,0.125
0.53157,0.62187,0.6754,0.37685,0.1281
0.55197,0.6289,0.66171,0.39411,0.18285
0.56815,0.63987,0.64138,0.41021,0.20764
0.57898,0.6528,0.61648,0.42334,0.19628
0.59077,0.65786,0.60136,0.43588,0.2376
0.60165,0.66938,0.57867,0.44763,0.16632
0.61319,0.6736,0.56225,0.45973,0.18492
0.62102,0.67979,0.5496,0.46992,0.19628
0.62653,0.68878,0.53956,0.47827,0.14773
0.63886,0.69694,0.52353,0.48656,0.15496
0.65529,0.70481,0.46252,0.49932,0.20145
0.65982,0.71127,0.4401,0.50582,0.21178
0.46108,0.71324,0.43345,0.38319,0.20455
0.69946,0.71915,0.42094,0.52006,0.13843
0.26248,0.72224,0.42302,0.34293,0.11054
0.35047,0.70031,0.41898,0.17373,0.11777
0.69032,0.72308,0.40647,0.53573,0.125
0.66208,0.73067,0.38157,0.52599,0.19112
0.68569,0.73208,0.38691,0.53279,0.13946
0.51918,0.74332,0.38196,0.44962,0.1157
0.44401,0.74107,0.38848,0.39367,0.18285
0.21031,0.72533,0.40868,0.18601,0.17769
0.38946,0.72111,0.42094,0.29979,0.1405
0.6411,0.73939,0.38391,0.51891,0.23244
0.45148,0.72702,0.39786,0.27163,0.15289
0.2031,0.72308,0.42094,0.16099,0.18285
0.46312,0.72561,0.43345,0.43871,0.16219
0.39019,0.71212,0.46409,0.20585,0.20145
0.47146,0.71212,0.49993,0.34848,0.2686
0.22544,0.702,0.50046,0.1557,0.20661
0.094256,0.69019,0.50893,0.077757,0.19318
0.08806,0.6826,0.52392,0.070031,0.21488
0.080648,0.67557,0.5367,0.06174,0.23244
0.1131,0.67135,0.53983,0.077078,0.26446
0.31775,0.6781,0.54282,0.2872,0.30888
0.070196,0.67416,0.547,0.062778,0.27169
0.049513,0.6573,0.56746,0.037711,0.21384
0.13018,0.65308,0.58454,0.081304,0.24174
0.0645,0.65645,0.56785,0.079347,0.26446
0.11131,0.65224,0.53422,0.10069,0.32231
0.054343,0.64717,0.53709,0.059497,0.25517
0.02745,0.63565,0.57633,0.021181,0.27893
0.033997,0.62834,0.59562,0.032553,0.20868
0.030577,0.62553,0.59236,0.031495,0.27583
0.013504,0.61962,0.57646,0.013309,0.25826
0.0062516,0.61513,0.5818,0.0073864,0.16426
0.10741,0.48861,0.80237,0.097993,0.16322
0.12482,0.49508,0.79012,0.10724,0.17665
0.16955,0.50127,0.78086,0.12422,0.18079
0.1699,0.51026,0.7647,0.1403,0.18182
0.19149,0.51841,0.74919,0.1413,0.22727
0.25019,0.52797,0.72911,0.17873,0.21488
0.29102,0.53669,0.71425,0.20214,0.21488
0.32566,0.54428,0.70056,0.22604,0.21798
0.35904,0.55159,0.69039,0.24982,0.24587
0.39564,0.55918,0.68101,0.27107,0.2624
0.39549,0.56874,0.66628,0.28349,0.21074
0.44955,0.57436,0.64985,0.29935,0.25723
0.48779,0.58448,0.63225,0.33294,0.22107
0.51472,0.5932,0.61935,0.35441,0.23967
0.54294,0.59882,0.60162,0.37334,0.33161
0.51611,0.6081,0.59014,0.37082,0.28926
0.38855,0.60529,0.59262,0.24261,0.20455
0.61041,0.61681,0.58415,0.43804,0.17872
0.27798,0.62496,0.56798,0.26631,0.15496
0.26618,0.61906,0.57841,0.19981,0.16116
0.64742,0.62328,0.58154,0.42534,0.14153
0.57053,0.63649,0.56811,0.49194,0.18802
0.25746,0.63452,0.56655,0.22304,0.19421
0.27998,0.62187,0.58245,0.19189,0.22727
0.29557,0.62187,0.58754,0.22342,0.17355
0.3086,0.62412,0.5835,0.22721,0.14153
0.31161,0.63143,0.57007,0.24096,0.14566
0.29439,0.63368,0.56055,0.21289,0.19525
0.15702,0.63396,0.56459,0.16036,0.17769
0.12836,0.60782,0.61178,0.088451,0.19938
0.26439,0.60304,0.6376,0.17823,0.14463
0.31254,0.62159,0.6024,0.23678,0.15702
0.29306,0.62946,0.57567,0.22749,0.23554
0.32162,0.63087,0.57346,0.21174,0.15186
0.37575,0.63649,0.55834,0.29897,0.22727
0.1655,0.60978,0.61035,0.13687,0.27686
0.26486,0.59769,0.6226,0.18495,0.21074
0.37481,0.60276,0.62599,0.25397,0.2469
0.25624,0.61063,0.60566,0.19419,0.30269
0.3403,0.62131,0.58115,0.25675,0.20041
0.23807,0.61878,0.56564,0.1697,0.2593
0.23847,0.61766,0.55403,0.17331,0.20868
0.20774,0.61288,0.55951,0.1621,0.19525
0.19189,0.61288,0.55456,0.14413,0.16839
0.18787,0.61288,0.55221,0.13935,0.18492
0.17147,0.614,0.55456,0.13582,0.17769
0.18478,0.61288,0.56251,0.13582,0.16736
0.17477,0.61035,0.55755,0.13231,0.22934
0.17454,0.61428,0.54921,0.15045,0.22314
0.14039,0.61147,0.54726,0.11856,0.31715
0.15193,0.60894,0.55377,0.11641,0.22314
0.11366,0.60782,0.55469,0.10065,0.27789
0.08097,0.60219,0.54387,0.067043,0.28099
0.054798,0.59601,0.52731,0.044818,0.31302
0.0458,0.58898,0.55312,0.039827,0.19421
0.041395,0.58251,0.54752,0.035441,0.27479
0.030812,0.57745,0.54517,0.030278,0.21488
0.015678,0.57492,0.54752,0.019072,0.27583
0.0073834,0.57352,0.54726,0.011093,0.24897
0.0044772,0.57127,0.54074,0.0089369,0.2531
0.085139,0.43239,0.81019,0.077205,0.18698
0.11488,0.44195,0.79312,0.098772,0.19628
